SubjectID,Session,Helicopters,Language,Label,Accuracy,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,SCR_Amplitude,SCR_RiseTime,SCR_RecoveryTime,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
3,1,one,greek,p1,1,3,0.011269734,0.011269734,0.244444444,1.177777778,84.99645848,705.9117647,40.79458416,29.0118342,45.10092848,0.5625,0.3125,39,31.87701434,48.31843734,4838.830293,0.659727758,0.208446242
3,1,one,greek,p2,2,6,0.008808984,0.008808984,0.355555556,0.8,90.15228426,665.5405405,44.56006853,28.01122118,49.54860761,0.741935484,0.419354839,32,34.47833324,51.43297266,5571.059046,0.670354667,0.203152934
3,2,one,english,p1,1,4,0.017535187,0.017535187,1.066666667,1.75,65.94614398,909.8333333,49.05637347,23.47319792,36.12320188,0.571428571,0.142857143,36,25.54161071,65.18075339,5230.19077,0.391858169,0
3,2,one,english,p2,-1,4,0.010052617,0.010052617,1.616666667,2.75,64.10964961,935.8965517,46.42409068,21.64707055,38.13275682,0.607142857,0.178571429,36,26.91079131,59.89852708,5063.985857,0.449273006,0.110586848
3,3,two,greek,p1,1,10,0.002383457,0.002383457,0.66,0.783333333,72.78118472,824.3888889,41.22517959,26.92224161,38.35860207,0.441176471,0.147058824,14,26.74554097,41.90083965,3520.659182,0.638305609,0.236008092
3,3,two,greek,p2,5,3,0.000342917,0.000342917,0.444444444,0.466666667,75.30996479,796.7073171,33.72864738,16.81814496,27.29651992,0.45,0.025,27,19.28587566,43.6477949,2644.548542,0.441852233,0.2
3,4,two,english,p1,0,1,0.001782877,0.001782877,1.466666667,1,66.03888957,908.5555556,61.96793277,13.20344901,25.12919001,0.619047619,0,28,17.63371333,30.59537706,1694.920993,0.576352215,0.203915171
3,4,two,english,p2,4,8,0.019854047,0.019854047,1.15,1.00952381,67.50355282,888.8421053,48.8992123,25.12430516,36.2556509,0.583333333,0.083333333,39,25.63028777,64.935946,5228.637422,0.394701076,0.333333333
4,1,one,greek,p1,3,5,0.006026359,0.006026359,0.626666667,0.733333333,73.67874179,814.3461538,79.34973332,42.2676474,68.69957481,0.736842105,0.526315789,35,48.45447931,54.80165697,8342.140376,0.884179092,0.236272564
4,1,one,greek,p2,5,3,0.017041114,0.017041114,1.377777778,4.2,77.06068529,778.6071429,64.57627787,41.08559924,72.61123401,0.782608696,0.608695652,44.5,50.92458934,48.90256893,7823.644029,1.041347939,0.22948412
